,steam_temperature,spike
428,432.4256592,0.0
429,432.464386,0.0
430,431.9657593,0.0
431,431.6240845,0.0
432,431.1880493,0.0
433,431.1667175,0.0
434,431.3437805,0.0
435,431.7540894,0.0
436,431.8106384,0.0
437,431.6535339,0.0
438,431.815094,0.0
439,431.6201172,0.0
440,431.4544983,0.0
441,431.2469177,0.0
442,430.7398682,0.0
443,430.535553,0.0
444,430.6399536,0.0
445,431.1501465,0.0
446,431.3845825,0.0
447,431.7285156,0.0
448,431.9046631,0.0
449,432.1158447,0.0
450,432.6521606,0.0
451,432.8888855,0.0
452,432.489563,0.0
453,432.232605,0.0
454,431.7483215,0.0
455,431.5290833,0.0
456,431.7453308,0.0
457,432.3939209,0.0
458,432.8779602,0.0
459,432.9126892,0.0
460,432.8916626,0.0
461,432.4784851,0.0
462,432.2425842,0.0
463,431.641571,0.0
464,431.2418213,0.0
465,431.3120422,0.0
466,431.5235901,0.0
467,431.8492737,0.0
468,431.7019348,0.0
469,431.6960754,0.0
470,431.9353943,0.0
471,431.8490295,0.0
472,431.7703552,0.0
473,431.8114319,0.0
474,431.9277039,0.0
475,432.1543274,0.0
476,432.2910156,0.0
477,432.7312012,0.0
478,432.3688965,0.0
479,432.026001,0.0
480,432.1621704,0.0
481,432.009552,0.0
482,432.2008362,0.0
483,432.464447,0.0
484,432.5703125,0.0
485,432.6716919,0.0
486,432.3015442,0.0
487,431.9989624,0.0
488,431.9654541,0.0
489,432.1439514,0.0
490,432.3305359,0.0
491,432.3408813,0.0
492,441.079028298,1.0
493,432.4304199,0.0
494,432.5941467,0.0
495,432.6615601,0.0
496,432.5683594,0.0
497,432.0133667,0.0
498,432.0371094,0.0
499,431.9258728,0.0
500,432.0300293,0.0
501,431.9703674,0.0
502,432.3040771,0.0
503,432.3628845,0.0
504,432.4614258,0.0
505,432.2059021,0.0
506,431.574646,0.0
507,430.7182922,0.0
508,430.2593079,0.0
509,430.6110229,0.0
510,431.111084,0.0
511,431.5297852,0.0
512,432.0755005,0.0
513,432.2023621,0.0
514,432.2010193,0.0
515,431.9815369,0.0
516,431.7365417,0.0
517,431.5231018,0.0
518,431.7026367,0.0
519,431.8579102,0.0
520,431.7807617,0.0
521,431.6108093,0.0
522,431.4030457,0.0
523,431.6016235,0.0
524,431.6835632,0.0
525,431.7921448,0.0
526,431.910614,0.0
527,432.0354309,0.0
528,432.0260315,0.0
529,431.8296814,0.0
530,431.993103,0.0
531,432.1132813,0.0
532,432.6109009,0.0
533,433.0820313,0.0
534,433.2504883,0.0
535,432.8898621,0.0
