,steam_temperature,drift
436,432.9126892,0
437,432.8916626,0
438,432.4784851,0
439,432.2425842,0
440,431.641571,0
441,431.2418213,0
442,431.3120422,0
443,431.5235901,0
444,431.8492737,0
445,431.7019348,0
446,431.6960754,0
447,431.9353943,0
448,431.8490295,0
449,431.7703552,0
450,431.8114319,0
451,431.9277039,0
452,432.1543274,0
453,432.2910156,0
454,432.7312012,0
455,432.3688965,0
456,432.026001,0
457,432.1621704,0
458,432.009552,0
459,432.2008362,0
460,432.464447,0
461,432.5703125,0
462,432.6716919,0
463,432.3015442,0
464,431.9989624,0
465,431.9654541,0
466,432.1439514,0
467,432.3305359,0
468,432.3408813,0
469,432.4304199,0
470,432.5941467,0
471,432.6615601,0
472,432.5683594,0
473,432.0133667,0
474,432.0371094,0
475,431.9258728,0
476,432.0300293,0
477,431.9703674,0
478,432.3040771,0
479,432.3628845,0
480,432.4614258,0
481,432.2059021,0
482,431.574646,0
483,430.7182922,0
